seed,scheduling method,Max Queue Length,Avg. Time In System
0,RandMin,34.0,24.666666666666668,64.73533057242369
0,PureRand,25.0,17.0,46.95351692483166
0,RR,17.0,12.333333333333334,32.13910636444134
1,RandMin,35.0,20.666666666666668,65.03150006746809
1,PureRand,28.0,16.833333333333332,41.55880326589517
1,RR,25.0,16.0,46.4377076026823
2,RandMin,39.0,24.166666666666668,74.05956592831875
2,PureRand,31.0,18.5,51.85916307971004
2,RR,15.0,12.833333333333334,31.10382696617999
3,RandMin,31.0,18.333333333333332,49.63747959151527
3,PureRand,25.0,17.5,49.300143322217856
3,RR,32.0,17.666666666666668,56.821961126949745
4,RandMin,31.0,21.333333333333332,62.28527347792421
4,PureRand,42.0,29.333333333333332,82.38586377228646
4,RR,15.0,12.5,33.404152434915176
